id,Author Name,Book Title,Price (GBP)
8,Michael Stephen Fuchs,The First 3 Days,2.99
8,Michael Stephen Fuchs,Desperation,2.99
8,Michael Stephen Fuchs,Ghosts,2.99
11,J.K. Rowling,Harry Potter and the Philosopher's Stone,7.99
11,J.K. Rowling,Harry Potter and the Chamber of Secrets,7.99
11,J.K. Rowling,Harry Potter and the Prisoner of Azkaban,7.99
4,Stephen King,The Shining,8.99
4,Stephen King,It,9.99
4,Stephen King,Carrie,7.99
7,George R.R. Martin,A Game of Thrones,10.0
7,George R.R. Martin,A Clash of Kings,10.0
7,George R.R. Martin,A Storm of Swords,10.0
